"Key","Value"
"f80664fd-7757-4bd8-b139-c3869a7877f5","SRMW_Intune_Win_Devices_NLENS"
"7c7ba568-08dd-4161-9fd9-ee814d3c1a57","ELS APP Layouttool Filter Users"
"8603eb67-0009-4f30-8192-21427682c009","ELS Department Product Management"
"3f55aae4-e68c-4472-af2a-4bd025c58038","ENS PER DEPT_Management_5FinanceLegal RW"
"29f4dacf-9b85-4166-bf2f-37ed54676150","ELS Apprentice Certification & Classification"
"146b197b-76a0-4de6-bc1e-53b4a0d68ae8","ELS PER TECHNIK_Elektro_Protokolle RW"
"f67ec5cd-8e92-4082-82a4-4d7a094ef38a","ELS PER TECHNIK_TechnBerechnungen_20_LOG_DATA_ANALYZER R"
"cea59c5c-85e2-47da-876a-9b28f87c6ab0","ENS Function Project Management"
"07e19346-8ec8-42a0-a229-ed1763cedb6d","ELS Share BRIEFKASTEN"
"e1473204-2dc3-4694-b995-b2fc61c219a4","ELS PER PRJ_Tools L"
"69ade88c-0741-4504-bed5-23d8f356d4b0","TRT Disabled User"
"261e83da-5491-459c-81ef-46403f4c8990","ELS PER TECHNIK_Labor_18Organisation R"
"ea5b8e8b-b222-45ca-8dd3-8d6d8df89129","ELS Apprentice Functional Development"
"7236efd2-c750-4614-ba24-aa943e2a43ae","ELS PER ORGANISATION_IT_Nachweise R"
"0a5a480a-56d6-4fa9-9c37-d6a34480fa02","ELS Department Certification & Classification"
"6f1dce3d-c9a3-44e2-92c8-b7a4f3cefb9a","ELS PER ORGANISATION_Personal R"
"bd35a5e5-7f69-4ddc-8f44-621ac204d516","MBI HUG Function SystemDesign"
"b0c625ae-5987-4473-b81d-40599806d0aa","SRMW_Intune_Win_User_All-ITTRA"
"c71a7625-b23f-4480-8dee-30ee10ad2cd5","ELS SP_Abteilungs-Seiten_Information Technology R"
"d6b830bc-590d-435f-8ef1-27c7f2c3b255","MAB RDS DEMABAPPDTV1 RemoteAPP Users"
"5f8a76f9-7b68-4483-a6d9-b427691d64fc","ELS PER ORGANISATION_Management_050Americas RW"
"26987047-ed2e-4862-81c1-44139171a372","ELS SP_Abteilungs-Seiten_PM_Dokumentation R"
"e2bbaa79-c5ff-47dc-b7e8-70f2ac1c3903","ELS PER ORGANISATION_Gesch?ftsleitung_Vision2020 R"
"c8ede303-26cc-433b-8a4b-9daaef20bc20","ELS PER ORGANISATION_Finanzen_ReportingFAUBudget RW"
"fd92847e-e36b-4166-a37d-3deedd587817","ELS SP SharePoint Test-Seiten"
"6a43eb7f-2f55-4991-981b-87ba6e1cbc28","ELS PER APPLICATION_ExpoVit RW"
"faed83da-1c3d-41bf-a1d0-7e01735f1286","ELS PER EPLAN R"
"820062c4-6c54-4fdc-af0d-cc9f6549af2c","ELS PER TECHNIK_Labor_11Bestellungen R"
"46632897-5583-471b-a14e-e1847ae8b3f7","ELS PER TECHNIK_CAD_00_Archiv RW"
"9909be42-ad0b-43fa-a97d-3527afdce7a3","ELS Department Project Management"
"d4090552-e325-4fa2-a0bb-62a46f777930","ELS PER TECHNIK_Elektro_Entwicklung R"
"0f073acb-f4a6-4ea2-82ea-461becb425b1","ELS PER ORGANISATION_Einkauf_04TeamOrganization RW"
