"id","categoryPath","displayName"
"a6dc0065-e6c0-417a-b240-26f676b728fd","\Microsoft Edge\Content settings","Revert to legacy SameSite behavior for cookies on specified sites"
"d028cb5b-d60d-4f12-9412-265ad7806a6a","\Microsoft Edge","Define a list of allowed URLs"
"31de1a62-ed47-4426-80ec-d3c79db860c9","\Microsoft Office 2016\Security Settings\Escrow Certificates","Escrow Key #2"
"d5cc720f-c79d-497a-8057-e4cf8cd50dfa","\Microsoft Edge\Network settings","Enable compression dictionary transport support"
"1208371f-0fc6-40f0-a873-00bb0492e465","\Microsoft Word 2016\Word Options\Advanced","Allow accented uppercase in French"
"5faeafa1-d71b-427a-95ae-d3c741bee06a","\FSLogix\Profile Containers","VHDX Sector Size"
"636d6846-9bf5-4033-9e54-afe65ae0d39e","\Microsoft Office 2016\Tools | Options | General | Web Options...\Files","Use long file names whenever possible"
"18afaa78-2f26-4e3e-a3d3-0f6191cc868a","\Google\Google Chrome - Default Settings (users can override)\Startup, Home page and New Tab page","Show Home button on toolbar"
"a045039f-a144-479e-afb3-57ca4ceee85a","\Microsoft Publisher 2016\Security\Trust Center","Block application add-ins loading"
"91d962c3-e075-4e37-820e-039fff258f14","\Microsoft Project 2016\Project Options\Save\File locations","Projects"
"221e8d64-18d0-42a0-be55-36f2c84209e6","\Google\Google Chrome\Removed policies","Enterprise web store URL (deprecated)"
"c9bff518-aec4-4509-910a-841f8e71e4b6","\Google\Google Chrome","Force disable spellcheck languages"
"52f3f148-90fa-4d73-8924-b37c801f1397","\Microsoft Word 2016\Word Options\Proofing\AutoFormat as you type\Automatically as you type","Insert closing phrase to match Japanese salutation"
"8d9035e1-dc60-4f74-833b-4bbc601fc883","\Google\Google Chrome\Password manager","Enable leak detection for entered credentials"
"20da1540-5b8a-4788-8fa2-816065624620","\Microsoft Office 2016\Security Settings","Turn off error reporting for files that fail file validation"
